2023-09-12-03-39: 
2023-09-12-03-39: epoch: 40 |lr: [0.004988629588662138] |train/supervised_loss: 0.00050513|train/bone_loss: 0.0057612|train/total_loss: 0.00626634|
2023-09-12-03-39: epoch: 41 |lr: [0.004987861279465123] |train/supervised_loss: 0.00049385|train/bone_loss: 0.0057723|train/total_loss: 0.00626615|
2023-09-12-03-39: epoch: 42 |lr: [0.004987067917533771] |train/supervised_loss: 0.00048228|train/bone_loss: 0.00577072|train/total_loss: 0.006253|
2023-09-12-03-39: epoch: 43 |lr: [0.004986249510857227] |train/supervised_loss: 0.00047745|train/bone_loss: 0.00578001|train/total_loss: 0.00625745|
2023-09-12-03-39: epoch: 44 |lr: [0.00498540606767684] |train/supervised_loss: 0.00046896|train/bone_loss: 0.00576547|train/total_loss: 0.00623443|
2023-09-12-03-39: epoch: 45 |lr: [0.00498453759648607] |train/supervised_loss: 0.0004639|train/bone_loss: 0.00575441|train/total_loss: 0.00621831|
2023-09-12-03-39: epoch: 46 |lr: [0.004983644106030413] |train/supervised_loss: 0.00045371|train/bone_loss: 0.00576829|train/total_loss: 0.006222|
2023-09-12-03-39: epoch: 47 |lr: [0.004982725605307309] |train/supervised_loss: 0.00045416|train/bone_loss: 0.00576111|train/total_loss: 0.00621528|
2023-09-12-03-39: epoch: 48 |lr: [0.00498178210356605] |train/supervised_loss: 0.00044862|train/bone_loss: 0.0057685|train/total_loss: 0.00621712|
2023-09-12-03-39: epoch: 49 |lr: [0.004980813610307687] |train/supervised_loss: 0.00044436|train/bone_loss: 0.00577276|train/total_loss: 0.00621712|
2023-09-12-03-39: epoch: 50 |lr: [0.004979820135284937] |train/supervised_loss: 0.00043766|train/bone_loss: 0.00576633|train/total_loss: 0.00620399|
2023-09-12-03-39: epoch: 51 |lr: [0.004978801688502085] |train/supervised_loss: 0.00043114|train/bone_loss: 0.00576746|train/total_loss: 0.0061986|
2023-09-12-03-39: epoch: 52 |lr: [0.004977758280214874] |train/supervised_loss: 0.00042842|train/bone_loss: 0.00575423|train/total_loss: 0.00618265|
2023-09-12-03-39: epoch: 53 |lr: [0.004976689920930417] |train/supervised_loss: 0.00042382|train/bone_loss: 0.00577006|train/total_loss: 0.00619388|
2023-09-12-03-39: epoch: 54 |lr: [0.004975596621407079] |train/supervised_loss: 0.00041521|train/bone_loss: 0.00575607|train/total_loss: 0.00617128|
2023-09-12-03-39: epoch: 55 |lr: [0.004974478392654376] |train/supervised_loss: 0.00041503|train/bone_loss: 0.00575535|train/total_loss: 0.00617038|
2023-09-12-03-39: epoch: 56 |lr: [0.004973335245932859] |train/supervised_loss: 0.00041232|train/bone_loss: 0.00576711|train/total_loss: 0.00617944|
2023-09-12-03-39: epoch: 57 |lr: [0.004972167192753998] |train/supervised_loss: 0.00040645|train/bone_loss: 0.00575679|train/total_loss: 0.00616324|
2023-09-12-03-39: epoch: 58 |lr: [0.004970974244880078] |train/supervised_loss: 0.00040164|train/bone_loss: 0.00576278|train/total_loss: 0.00616442|
2023-09-12-03-39: epoch: 59 |lr: [0.004969756414324074] |train/supervised_loss: 0.00040021|train/bone_loss: 0.00574946|train/total_loss: 0.00614967|
2023-09-12-03-39: epoch: 60 |lr: [0.0049685137133495235] |train/supervised_loss: 0.00039866|train/bone_loss: 0.00574689|train/total_loss: 0.00614555|
2023-09-12-03-39: epoch: 61 |lr: [0.004967246154470411] |train/supervised_loss: 0.00039663|train/bone_loss: 0.0057644|train/total_loss: 0.00616102|
2023-09-12-03-39: epoch: 62 |lr: [0.004965953750451042] |train/supervised_loss: 0.00039273|train/bone_loss: 0.00575773|train/total_loss: 0.00615045|
